时间,农林消费部门的碳排放量预测值,一次能源中化石的能源消费量,一次能源中非化石的能源消费量,二次能源的能源消费量,化石能源发电的能源消费量,非化石能源发电的能源消费量,碳排放量预测值,工业消费部门的碳排放量预测值,交通消费部门的碳排放量预测值,建筑消费部门的碳排放量预测值,居民生活消费的碳排放量预测值,能源供应部门的碳排放量预测值
2047,1650.85538181430,29009.5493267104,509.984082594281,9631.47877103090,9865.16250833869,9631.47877103090,134232.415680945,42575.9605495632,11841.9898102677,14248.2954293992,18296.1870700326,45619.1274398901
2048,1648.05078015523,28578.2000654787,500.943991515553,9975.64526529238,9456.74606098235,9975.64526529238,134240.899874851,41555.1521098465,12061.2165301768,14600.7910412867,18736.2448720299,45639.4445413835
2049,1644.12139900401,28117.9123951122,490.965251797112,10324.9456312172,9028.18555133045,10324.9456312172,134193.683533102,40490.7078194022,12279.5277808241,14955.6467662659,19179.5421560574,45644.1376115717
2050,1639.06723836157,27628.6863156185,480.047863438958,10679.3798687980,8579.48097939044,10679.3798687980,134090.766655713,39382.6276782453,12496.9235622084,15312.8626043350,19626.0789221134,45633.2066504620
2051,1632.88829822559,27110.5218269750,468.191826440860,11038.9479780383,8110.63234515488,11038.9479780383,133932.149242640,38230.9116863608,12713.4038743321,15672.4385554940,20075.8551701996,45606.6516580395
2052,1625.58457859932,26563.4189291969,455.397140802583,11403.6499589421,7621.63964862376,11403.6499589421,133717.831293911,37035.5598437488,12928.9687171928,16034.3746197447,20528.8709003124,45564.4726343192
2053,1617.15607948089,25987.3776222914,441.663806525059,11773.4858115017,7112.50288980454,11773.4858115017,133447.812809512,35796.5721504539,13143.6180907923,16398.6707970817,20985.1261124555,45506.6695792973
2054,1607.60280087078,25382.3979062364,426.991823607124,12148.4555357210,6583.22206869721,12148.4555357210,133122.093789488,34513.9486064166,13357.3519951303,16765.3270875122,21444.6208066270,45433.2424929738
2055,1596.92474276852,24748.4797810465,411.381192049710,12528.5591316037,6033.79718528688,12528.5591316037,132740.674233779,33187.6892116368,13570.1704302053,17134.3434910346,21907.3549828269,45344.1913753413
2056,1585.12190517411,24085.6232467294,394.831911851885,12913.7965991423,5464.22823958844,12913.7965991423,132303.554142416,31817.7939661443,13782.0733960194,17505.7200076431,22373.3286410552,45239.5162264146
2057,1572.19428808801,23393.8283032626,377.343983014347,13304.1679383405,4874.51523160189,13304.1679383405,131810.733515412,30404.2628699392,13993.0608925708,17879.4566373453,22842.5417813137,45119.2170461826
2058,1558.14189151069,22673.0949506685,358.917405537330,13699.6731492020,4264.65816131979,13699.6731492020,131262.212352723,28947.0959230065,14203.1329198612,18255.5533801354,23314.9944035988,44983.2938346453
2059,1542.96471544122,21923.4231889248,339.552179420134,14100.3122317158,3634.65702874213,14100.3122317158,130657.990654379,27446.2931253463,14412.2894778897,18634.0102360155,23790.6865079142,44831.7465918027
2060,1526.66275987914,21144.8130180389,319.248304662760,14506.0851859003,2984.51183389127,14506.0851859003,129998.068420380,25901.8544769585,14620.5305666553,19014.8272049874,24269.6180942599,44664.5753176622
