时间,常驻人口总量,区域生产总值,一次能源中化石的能源消费量,一次能源中非化石的能源消费量,二次能源的能源消费量,化石能源发电的能源消费量,非化石能源发电的能源消费量,农林消费部门的碳排放量,工业消费部门的碳排放量,交通消费部门的碳排放量,建筑消费部门的碳排放量,居民生活消费部门的碳排放量,能源供应部门的碳排放量,碳排放量
2020,8498.64106484875,96390.1935792211,28945.1745929718,380.798120340332,2772.47748766094,12596.6754663736,2772.47748766094,1289.96931751352,51986.6743809581,5862.07559175510,6107.98033532500,8246.56761586666,39084.5463535339,112577.813594818
2021,8514.38085049763,102625.943874091,28903.8725445569,385.793851463124,3122.27244564891,12429.5345211029,3122.27244564891,1306.22823596839,51450.4641442895,6158.74633369688,6517.37813844532,8752.49047563970,39386.2417759597,113571.549103796
2022,8522.70696997643,108861.694168959,28774.4845004082,387.932417921722,3487.69446159154,12201.0768056214,3487.69446159154,1319.06342366617,50781.4301806688,6452.63046697993,6933.95992014557,9268.27403641492,39640.3790086061,114395.737036288
2023,8523.61942327768,115097.444463827,28557.0104607046,387.213819717988,3868.74353548139,11911.3023199290,3868.74353548139,1328.47488060780,49979.5724899173,6743.72799160797,7357.72568042576,9793.91829818487,39846.9580514580,115050.377392113
2024,8517.11821040511,121333.194758695,28251.4504253268,383.638056850992,4265.41966732591,11560.2110640109,4265.41966732591,1334.46260679234,49044.8910721540,7032.03890757822,7788.67541928589,10329.4232609496,40005.9789045900,115535.470171213
2025,8503.20333136059,127568.945053564,27857.8043942451,377.205129320733,4677.72285712510,11147.8030378968,4677.72285712510,1337.02660221979,47977.3859272599,7317.56321489066,8226.80913673341,10874.7889247239,40117.4415679127,115851.015373588
2026,8481.87478614040,133804.695348432,27376.0723676085,367.915037126280,5105.65310487151,10674.0782415271,5105.65310487151,1336.16686689015,46777.0570554137,7600.30091354810,8672.12683275342,11430.0152894929,40181.3460415006,115997.012999415
2027,8453.13257475011,140040.445643300,26806.2543452978,355.767780266702,5549.21041058004,10139.0366749913,5549.21041058004,1331.88340080343,45443.9044564366,7880.25200354774,9124.62850735337,11995.1023552567,40197.6923252791,115973.463048637
2028,8416.97669718415,146276.195938168,26148.3503272831,340.763358745724,6008.39477423579,9542.67833822966,6008.39477423579,1324.17620396055,43977.9281305075,8157.41648489144,9584.31416053697,12570.0501220226,40166.4804193377,115780.365521014
2029,8373.40715344436,152511.946233038,25402.3603136539,322.901772561483,6483.20619584620,8885.00323125720,6483.20619584620,1313.04527635965,42379.1280773878,8431.79435757734,10051.1837923005,13154.8585897833,40087.7103236020,115417.720416844
2030,8322.42394353077,158747.696527906,24568.2843044102,302.183021713048,6973.64467541128,8166.01135407388,6973.64467541128,1298.49061800260,40647.5042973161,8703.38562160544,10525.2374026440,13749.5277585462,39961.3820381165,114885.527736068
2031,8264.02706744336,164983.446822774,23646.1222994626,278.607106199488,7479.71021291614,7385.70270667970,7479.71021291614,1280.51222888846,38783.0567900538,8972.19027697947,11006.4749915674,14354.0576283112,39787.4955628365,114183.787478507
2032,8198.21652518585,171219.197117643,22635.8742989004,252.174026024528,8001.40280839056,6544.07728905976,8001.40280839056,1259.11010901537,36785.7855558991,9238.20832369477,11494.8965590745,14968.4481990710,39566.0508978218,113312.499644399
2033,8124.99231675081,177454.947412511,21537.5403026640,222.883781186305,8538.72246181220,5641.13510124385,8538.72246181220,1234.28425838705,34655.6905945539,9501.43976175506,11990.5021051578,15592.6994708329,39297.0480430126,112271.664233625
2034,8044.35444214195,183690.697707379,20351.1203108132,190.736371683888,9091.66917318851,4676.87614320219,9091.66917318851,1206.03467700258,32392.7719062567,9761.88459115662,12493.2916298211,16226.8114435896,38980.4869984686,111061.281246066
2035,7956.30290136114,189926.448002247,19076.6143233180,155.731797518209,9660.24294251204,3651.30041496456,9660.24294251204,1174.36136486009,29997.0294907689,10019.5428119032,13003.2651330642,16870.7841173485,38616.3677641153,109681.350681961
2036,7860.83769440837,196162.198297117,17714.0223401189,117.870058686472,10244.4437697828,2564.40791650116,10244.4437697828,1139.26432196144,27468.4633483887,10274.4144239919,13520.4226148874,17524.6174921021,38204.6903400421,108131.872541249
2037,7757.95882127993,202397.948591985,16263.3443613350,77.1511551942676,10844.2716550156,1416.19864782691,10844.2716550156,1100.74354830571,24807.0734788179,10526.4994274229,14044.7640752941,18188.3115678579,37745.4547261596,106412.846823692
2038,7647.66628197581,208633.698886853,14724.5803869069,33.5750870378688,11459.7265982032,206.672608941793,11459.7265982032,1058.79904389288,22012.8598822951,10775.7978221998,14576.2895142809,18861.8663446084,37238.6609225422,104524.273529649
2039,7529.96007649973,214869.449181722,13097.7304167747,-12.8581457817927,12090.8085993379,-1064.17020015419,12090.8085993379,1013.43080872297,19085.8225586414,11022.3096083170,15114.9989318475,19545.2818223685,36684.3089291304,102466.152658939
2040,7404.84020484984,221105.199476590,11382.7944510579,-62.1485432656482,12737.5176584348,-2396.32977947593,12737.5176584348,964.638842795976,16025.9615080357,11266.0347857801,15660.8923279978,20238.5580011234,36082.3987459838,100238.484211564
2041,7272.30666702986,227340.949771458,9579.77248966694,-114.296105413698,13399.8537754714,-3789.80612899363,13399.8537754714,912.423146112822,12833.2767302394,11506.9733545836,16213.9697027206,20941.6948808730,35432.9303730279,97841.2681874037
2042,7132.35946303420,233576.700066326,7688.66453260183,-169.300832224078,14077.8169504702,-5244.59924873710,14077.8169504702,856.783718672581,9507.76822549105,11745.1253147312,16774.2310560308,21654.6924616173,34735.9038103521,95274.5045867562
2043,6984.99859286286,239812.450361196,5709.47057992220,-227.162723698653,14771.4071834162,-6760.70913867652,14771.4071834162,797.720560472459,6049.43599361181,11980.4906662237,17341.6763879135,22377.5507433712,33991.3190578669,92538.1934093833
2044,6830.22405651771,246048.200656064,3642.19063156843,-287.881779835559,15480.6244743168,-8338.13579884171,15480.6244743168,735.233671518043,2458.28003472090,12213.0694090575,17916.3056983836,23110.2697261125,33199.1761156619,89632.3346552849
2045,6668.03585400060,252283.950950932,1486.82468760014,-351.458000636660,16205.4688231796,-9976.87922921777,16205.4688231796,669.323051807471,-1265.69965130091,12442.8615432363,18498.1189874336,23852.8494098634,32359.4749836475,86556.9283246398
2046,6498.43398531154,258519.701245800,-756.627252012491,-417.891386102885,16945.9402299747,-11676.9394298047,16945.9402299747,599.988701338880,-5122.50306421518,12669.8670687564,19087.1162550598,24605.2897946015,31472.2156618983,83311.9744173288
2047,6321.41845044680,264755.451540669,-3088.16518732905,-487.181936230510,17702.0386947468,-13438.3164006174,17702.0386947468,527.230620113201,-9112.13020437956,12894.0859856224,19683.2975012697,25367.5908803493,30537.3981503397,79897.4729332328
2048,6136.98924940825,270991.201835537,-5507.78911823034,-559.329651022330,18473.7642174512,-15261.0101416260,18473.7642174512,451.048808131367,-13234.5810714364,13115.5182938287,20286.6627260596,26139.7526670918,29555.0224490613,76313.4238725901
2049,5945.14638219588,277226.952130405,-8015.49904477596,-634.334530477412,19261.1167981178,-17145.0206528455,19261.1167981178,371.443265392445,-17489.8556655645,13334.1639933782,20897.2119294293,26921.7751548290,28525.0885580033,72559.8272352815
2050,5745.88984880969,283462.702425275,-10611.2949670255,-712.196574595757,20064.0964367464,-19090.3479342908,20064.0964367464,288.413991896436,-21877.9539868832,13550.0230842736,21514.9451113790,27713.6583435759,27447.5964771658,68636.6830212474
2051,5539.21964925341,289698.452720143,-13295.1768848896,-792.915783380158,20882.7031333148,-21096.9919859469,20882.7031333148,201.960987643339,-26398.8760350943,13763.0955665102,22139.8622719087,28515.4022333175,26322.5462065786,64543.9912306666
2052,5325.13578352146,295934.203015011,-16067.1447983682,-876.492156825028,21716.9368878379,-23164.9528078139,21716.9368878379,112.084252633154,-31052.6218104959,13973.3814400909,22771.9634110220,29327.0068240538,25149.9377461970,60281.7518633604
2053,5103.63825161383,302169.953309879,-18927.1987075806,-962.925694934092,22566.7977003083,-25294.2303998917,22566.7977003083,18.7837868668139,-35839.1913128495,14180.8807050139,23411.2485287115,30148.4721157849,23929.7710960805,55849.9649193287
2054,4874.72705353238,308405.703604748,-21875.3386123776,-1052.21639770735,23432.2855707407,-27484.8247621804,23432.2855707407,-77.9404096594080,-40758.5845423937,14385.5933612818,24057.7176249810,30979.7981085256,22662.0462561697,51248.6303987503
2055,4638.40218927898,314641.453899616,-24911.5645128489,-1144.36426514294,24313.4004991278,-29736.7358946800,24313.4004991278,-178.088336939923,-45810.8014988303,14587.5194088910,24711.3706998341,31820.9848022610,21346.7632265091,46477.7483015656
2056,4394.66365885548,320877.204194484,-28035.8764089346,-1239.36929724459,25210.1424854621,-32049.9637974054,25210.1424854621,-281.659994977526,-50995.8421824574,14786.6588478433,25372.2077532671,32672.0321969911,19983.9220070690,41537.3186275363
2057,4143.51146225445,327112.954489352,-31248.2743006647,-1337.23149400763,26122.5115297511,-34424.5084703267,26122.5115297511,-388.655383772217,-56313.7065930367,14983.0116781406,26040.2287852764,33532.9402927235,18573.5225978792,36427.3413769603
2058,3884.94559947960,333348.704784222,-34548.7581880987,-1437.95085543487,27050.5076319873,-36860.3699134737,27050.5076319873,-499.074503323995,-61764.3947308064,15176.5778997801,26715.4337958731,34403.7090894580,17115.5649988949,31147.8165497780
2059,3618.96607053094,339584.455079090,-37937.3280711174,-1541.52738152444,27994.1307921857,-39357.5481268317,27994.1307921857,-612.917353632860,-67347.9065954685,15367.3575127637,27397.8227850460,35284.3385871872,15610.0492101759,25698.7441459298
2060,3345.57287540846,345820.205373958,-41413.9839498103,-1647.96107227821,28953.3810103312,-41916.0431103855,28953.3810103312,-730.183934697881,-73064.2421873212,15555.3505170885,28087.3957527950,36174.8287859187,14056.9752316624,20080.1241652966
